country,year,NY.GDP.MKTP.KD,ST.INT.RCPT.CD,ST.INT.ARVL,SP.POP.TOTL,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS,FP.CPI.TOTL.ZG,PA.NUS.FCRF,IS.AIR.PSGR
Spain,2008,1245931907237.16,,97670000.0,45954106,11.254,28.4790441123592,55.8281315172523,4.07534335957339,0.679922680042729,55213716.0
Spain,2007,1236446314615.43,,98907000.0,45226803,8.232,30.458980215138,57.6269487657546,2.78679745804946,0.729672399984083,60664991.0
Spain,2006,1194247574981.13,,96152000.0,44397319,8.452,30.5843124611931,56.0839263823216,3.51557576832128,0.796432730949102,53122464.0
Spain,2005,1147835587310.16,,92563000.0,43653155,9.146,29.4041085115965,54.6991667043772,3.36881409750383,0.803800192161442,49855007.0
Spain,2004,1108471271904.22,,85981000.0,42921895,11.09,28.3028257363739,54.4795182656074,3.03924881090924,0.803921647747618,45539952.0
Spain,2003,1074990358774.14,,82326000.0,42187645,11.283,27.5285511216757,53.4357897202258,3.03888839396655,0.88404792718493,42506835.0
Spain,2002,1044295490089.67,,79313000.0,41431558,11.146,26.705648861478,55.1021415309759,3.06565685902219,1.05755899623965,40380629.0
Spain,2001,1016292009754.12,,75564000.0,40850412,10.348,26.4824711323646,58.0138895625701,3.58983413338112,1.11653308564462,41469789.0
Spain,2000,977964704474.031,,74580000.0,40567864,13.785,26.6723700485971,60.1216241049216,3.43351563418767,1.08270508132602,39711776.0
Estonia,2023,27574844401.6353,,,1370286,6.378,27.694515970385,154.859244621649,9.15922507983982,0.924839558470698,
Estonia,2022,28434428182.5728,,,1348840,5.571,28.9736561167561,174.563994182116,19.3982634080616,0.949623753156941,
Estonia,2021,28417255488.3023,,,1330932,6.178,30.4701833404119,160.394681627556,4.65316673847475,0.84549413889045,
Estonia,2020,26519903136.8312,865000000.0,1695000.0,1329522,6.956,29.6577202670176,137.392641283846,-0.444531097679813,0.875506396987998,
Estonia,2019,27307395871.0676,2310000000.0,6103000.0,1326898,4.514,26.356088071314,140.352147998549,2.27725931243518,0.893276257067409,857.0
Estonia,2018,26326306710.8582,2326000000.0,6033000.0,1321977,5.412,27.8503992212561,143.485224864735,3.43632688420446,0.846772667108111,62802.0
Estonia,2017,25387062190.0468,2124000000.0,6145000.0,1317384,5.807,25.9381976210924,144.635650944133,3.41723549488055,0.885205508269372,13103.0
Estonia,2016,24032887679.5037,1911000000.0,5942000.0,1315790,6.882,24.7023530937166,147.7462327097,0.148684907627365,0.903421436257263,372274.0
Estonia,2015,23311847750.9394,1893000000.0,5696000.0,1315407,6.412,24.6409611018289,148.507157123558,-0.492326006547392,0.901296423367096,512389.0
Estonia,2014,22891074856.6938,2278000000.0,5804000.0,1314545,7.352,26.727615908803,157.953944842229,-0.106175146521685,0.752728196932603,602880.0
Estonia,2013,22154913628.3244,2022000000.0,5737000.0,1317997,8.631,26.8697121064814,164.601632156916,2.78056658954994,0.752945122701996,627588.0
Estonia,2012,21772481344.2301,,5007000.0,1322696,10.021,29.0805066900785,169.156067773865,3.93339987296984,0.778338120416812,914519.0
Estonia,2011,21001309333.0129,,4907000.0,1327439,12.328,25.4681664047184,166.7460724339,4.98190131453606,0.718413898653317,614933.0
Estonia,2010,19516680413.329,,4369000.0,1331475,16.707,21.5876781655604,143.671762256978,2.97204512015694,11.8068482348947,582320.202753145
Estonia,2009,19050002927.2983,,3834000.0,1334515,13.548,21.0087753498274,116.759079859802,-0.0784083112809762,11.2574308850767,395532.0
Estonia,2008,22314692031.2014,1643000000.0,3828000.0,1337090,5.455,31.6334055843093,136.681988157836,10.3623580313683,10.6944430938413,685582.0
Estonia,2007,23520174236.2883,1416000000.0,,1340680,4.592,40.0058943445447,133.980829235754,6.60132603055638,11.4338529961624,651323.0
Estonia,2006,21864807422.0901,1361000000.0,,1346810,5.915,39.8256877468792,136.620737662645,4.43762042389212,12.4654837577722,598123.0
